Date,XDV,XCG,XIU,XMD,XCV,XCS,XMV,XIC,XIN,XSP
2016-10-27,0.003491031,0.001361452,0.004104976,0,0.006138716,-0.008082124,0.004276636,0.002126062,0.002224806,-0.002037764
2016-10-28,-0.003054479,0,-0.00364801,-0.007067381,-0.001633341,-0.003752736,-0.00320593,-0.004257123,-0.004900921,-0.004088294
2016-10-31,0,0,-0.000456967,0.002084223,-0.004094932,-0.004395442,0.002494188,0.000426659,0.000446454,0.000409467
2016-11-01,-0.006574014,-0.004773363,-0.001371758,0.000415948,-0.004936156,0.00125788,-0.005352266,-0.000426659,-0.010320731,-0.006985765
2016-11-02,-0.008834403,-0.001710143,-0.011044568,-0.015940287,-0.002891056,-0.016476961,-0.00970708,-0.012449063,-0.009972969,-0.006204703
2016-11-03,-0.001775949,-0.009286532,-0.001389825,0.000845513,-0.005806469,-0.000639293,-0.001445959,-0.000864143,-0.005481772,-0.004574941
2016-11-04,-0.00356211,0,-0.005575989,-0.003385122,-0.006678116,-0.005770873,-0.001085993,-0.005201341,-0.011518287,-0.001251126
2016-11-07,0.014172462,-0.001036999,0.011581985,0.005916989,0.009170695,0.006410166,0.007577045,0.009945542,0.021545585,0.02187887
2016-11-08,0.00701126,0.005863016,0.000460772,0.000421225,0,-0.001278519,0.000718818,0.000430435,0.004976194,0.004075011
2016-11-09,0.00652876,-0.001720662,0.006882716,0.003784085,0.009908957,0.007012961,0.003227392,0.006430736,0.00764223,0.010517822
2016-11-10,0.014215736,0.000688506,0.001370278,-0.004626957,0.002462361,-0.003181891,-0.010799272,-0.000427571,-0.001344487,0.00241167
2016-11-11,-0.004286595,-0.023333874,-0.011481036,-0.019583571,-0.015280185,-0.019305557,-0.012748183,-0.012908861,-0.004494399,-0.000803331
2016-11-14,0.004286595,-0.006717391,0.002767271,0.006001232,0,0.006476663,-0.000366527,0.003026993,0.003597123,-0.000401733
2016-11-15,0.002989116,0.012339216,0.01008262,0.012739196,0.011173481,0.022974773,0.008762108,0.01116372,0.007155926,0.007208874
2016-11-16,-0.001279783,0.003846856,-0.000455794,-0.004228671,-0.000411418,-0.00632889,-0.000363591,-0.002137124,-0.007155926,-0.000798434
2016-11-17,0.007655789,0.008688339,0.007725263,0.001693448,0.009832082,-0.002542882,0.009050104,0.007672697,0.011602309,0.004780725
2016-11-18,0.003806568,-0.001038739,0.002712784,0.002956688,0.002442746,0.001272215,0.001080432,0.002120858,-0.005338165,-0.002785964
